evaluation_year,model,alert_budget,sessions,rows,positives,alerts,true_positives,false_positives,false_negatives,stress_sessions,detected_stress_sessions,precision,recall,prevalence,lift,alerts_per_session,stress_session_detection_rate,missed_event_cost,total_cost,no_alert_cost,normalized_cost_reduction
2024,lgbm_state,0.01,229,53418,6262,665,262,403,6000,229,164,0.39398496240601505,0.04183966783775152,0.1172264030851024,3.360889288055655,2.903930131004367,0.7161572052401747,2.0,12403.0,12524.0,0.009661450015969339
2024,lgbm_state,0.025,229,53418,6262,1526,546,980,5716,229,203,0.3577981651376147,0.08719259022676461,0.1172264030851024,3.052197761948435,6.663755458515284,0.8864628820960698,2.0,12412.0,12524.0,0.008942829766847652
2024,lgbm_state,0.05,229,53418,6262,2847,872,1975,5390,229,220,0.3062873199859501,0.13925263494091344,0.1172264030851024,2.6127844233486877,12.43231441048035,0.9606986899563319,2.0,12755.0,12524.0,-0.018444586394123285
2024,lgbm_state,0.1,229,53418,6262,5489,1399,4090,4863,229,226,0.25487338312989616,0.2234110507824976,0.1172264030851024,2.1741977611039274,23.96943231441048,0.9868995633187773,2.0,13816.0,12524.0,-0.10316192909613542
2024,lgbm_state,0.2,229,53418,6262,10773,2231,8542,4031,229,228,0.20709180358303164,0.3562759501756627,0.1172264030851024,1.7665969281057783,47.043668122270745,0.9956331877729258,2.0,16604.0,12524.0,-0.32577451293516446
2024,temporal_tabular,0.01,229,53418,6262,665,297,368,5965,229,173,0.44661654135338347,0.0474289364420313,0.1172264030851024,3.809863047910418,2.903930131004367,0.7554585152838428,2.0,12298.0,12524.0,0.018045352922389013
2024,temporal_tabular,0.025,229,53418,6262,1526,572,954,5690,229,202,0.3748361730013106,0.09134461833280103,0.1172264030851024,3.197540512517408,6.663755458515284,0.8820960698689956,2.0,12334.0,12524.0,0.015170871925902267
2024,temporal_tabular,0.05,229,53418,6262,2847,948,1899,5314,229,215,0.3329820864067439,0.15138933248163525,0.1172264030851024,2.840504166668069,12.43231441048035,0.9388646288209607,2.0,12527.0,12524.0,-0.0002395400830405621
2024,temporal_tabular,0.1,229,53418,6262,5489,1517,3972,4745,229,224,0.27637092366551286,0.24225487064835516,0.1172264030851024,2.3575825615401413,23.96943231441048,0.9781659388646288,2.0,13462.0,12524.0,-0.07489619929734909
2024,temporal_tabular,0.2,229,53418,6262,10773,2440,8333,3822,229,227,0.2264921563167177,0.3896518684126477,0.1172264030851024,1.9320916649834599,47.043668122270745,0.9912663755458515,2.0,15977.0,12524.0,-0.275710635579687
2025,lgbm_state,0.01,225,54538,5731,666,207,459,5524,225,143,0.3108108108108108,0.03611935089862153,0.10508269463493344,2.9577735124760074,2.96,0.6355555555555555,2.0,11507.0,11462.0,-0.00392601640202408
2025,lgbm_state,0.025,225,54538,5731,1546,425,1121,5306,225,186,0.27490297542043984,0.07415808759378817,0.10508269463493344,2.616063247859003,6.871111111111111,0.8266666666666667,2.0,11733.0,11462.0,-0.023643343221078347
2025,lgbm_state,0.05,225,54538,5731,2874,691,2183,5040,225,204,0.24043145441892833,0.12057232594660618,0.10508269463493344,2.2880214030883814,12.773333333333333,0.9066666666666666,2.0,12263.0,11462.0,-0.06988309195602861
2025,lgbm_state,0.1,225,54538,5731,5546,1134,4412,4597,225,218,0.20447169130905157,0.19787122666201362,0.10508269463493344,1.9458169779467902,24.648888888888887,0.9688888888888889,2.0,13606.0,11462.0,-0.18705287035421392
2025,lgbm_state,0.2,225,54538,5731,10992,1922,9070,3809,225,222,0.17485443959243085,0.33536904554179026,0.10508269463493344,1.663969887714534,48.85333333333333,0.9866666666666667,2.0,16688.0,11462.0,-0.4559413714883964
2025,temporal_tabular,0.01,225,54538,5731,666,249,417,5482,225,162,0.3738738738738739,0.04344791484906648,0.10508269463493344,3.5579014715291106,2.96,0.72,2.0,11381.0,11462.0,0.007066829523643343
2025,temporal_tabular,0.025,225,54538,5731,1546,486,1060,5245,225,193,0.314359637774903,0.08480195428372012,0.10508269463493344,2.991545266963472,6.871111111111111,0.8577777777777778,2.0,11550.0,11462.0,-0.007677543186180422
2025,temporal_tabular,0.05,225,54538,5731,2874,792,2082,4939,225,211,0.2755741127348643,0.1381957773512476,0.10508269463493344,2.622450001803181,12.773333333333333,0.9377777777777778,2.0,11960.0,11462.0,-0.04344791484906648
2025,temporal_tabular,0.1,225,54538,5731,5546,1266,4280,4465,225,219,0.2282726289217454,0.2209038562205549,0.10508269463493344,2.172314192310967,24.648888888888887,0.9733333333333334,2.0,13210.0,11462.0,-0.15250392601640203
2025,temporal_tabular,0.2,225,54538,5731,10992,2060,8932,3671,225,223,0.1874090247452693,0.3594486128075379,0.10508269463493344,1.783443271952102,48.85333333333333,0.9911111111111112,2.0,16274.0,11462.0,-0.4198220205897749
2024,lgbm_state,0.01,229,53418,6262,665,262,403,6000,229,164,0.39398496240601505,0.04183966783775152,0.1172264030851024,3.360889288055655,2.903930131004367,0.7161572052401747,5.0,30403.0,31310.0,0.028968380709038646
2024,lgbm_state,0.025,229,53418,6262,1526,546,980,5716,229,203,0.3577981651376147,0.08719259022676461,0.1172264030851024,3.052197761948435,6.663755458515284,0.8864628820960698,5.0,29560.0,31310.0,0.055892686042797825
2024,lgbm_state,0.05,229,53418,6262,2847,872,1975,5390,229,220,0.3062873199859501,0.13925263494091344,0.1172264030851024,2.6127844233486877,12.43231441048035,0.9606986899563319,5.0,28925.0,31310.0,0.07617374640689875
2024,lgbm_state,0.1,229,53418,6262,5489,1399,4090,4863,229,226,0.25487338312989616,0.2234110507824976,0.1172264030851024,2.1741977611039274,23.96943231441048,0.9868995633187773,5.0,28405.0,31310.0,0.0927818588310444
2024,lgbm_state,0.2,229,53418,6262,10773,2231,8542,4031,229,228,0.20709180358303164,0.3562759501756627,0.1172264030851024,1.7665969281057783,47.043668122270745,0.9956331877729258,5.0,28697.0,31310.0,0.08345576493133185
2024,temporal_tabular,0.01,229,53418,6262,665,297,368,5965,229,173,0.44661654135338347,0.0474289364420313,0.1172264030851024,3.809863047910418,2.903930131004367,0.7554585152838428,5.0,30193.0,31310.0,0.03567550303417438
2024,temporal_tabular,0.025,229,53418,6262,1526,572,954,5690,229,202,0.3748361730013106,0.09134461833280103,0.1172264030851024,3.197540512517408,6.663755458515284,0.8820960698689956,5.0,29404.0,31310.0,0.06087511977004152
2024,temporal_tabular,0.05,229,53418,6262,2847,948,1899,5314,229,215,0.3329820864067439,0.15138933248163525,0.1172264030851024,2.840504166668069,12.43231441048035,0.9388646288209607,5.0,28469.0,31310.0,0.09073778345576493
2024,temporal_tabular,0.1,229,53418,6262,5489,1517,3972,4745,229,224,0.27637092366551286,0.24225487064835516,0.1172264030851024,2.3575825615401413,23.96943231441048,0.9781659388646288,5.0,27697.0,31310.0,0.11539444267007345
2024,temporal_tabular,0.2,229,53418,6262,10773,2440,8333,3822,229,227,0.2264921563167177,0.3896518684126477,0.1172264030851024,1.9320916649834599,47.043668122270745,0.9912663755458515,5.0,27443.0,31310.0,0.12350686681571382
2025,lgbm_state,0.01,225,54538,5731,666,207,459,5524,225,143,0.3108108108108108,0.03611935089862153,0.10508269463493344,2.9577735124760074,2.96,0.6355555555555555,5.0,28079.0,28655.0,0.020101203978363288
2025,lgbm_state,0.025,225,54538,5731,1546,425,1121,5306,225,186,0.27490297542043984,0.07415808759378817,0.10508269463493344,2.616063247859003,6.871111111111111,0.8266666666666667,5.0,27651.0,28655.0,0.03503751526784157
2025,lgbm_state,0.05,225,54538,5731,2874,691,2183,5040,225,204,0.24043145441892833,0.12057232594660618,0.10508269463493344,2.2880214030883814,12.773333333333333,0.9066666666666666,5.0,27383.0,28655.0,0.04439015878555226
2025,lgbm_state,0.1,225,54538,5731,5546,1134,4412,4597,225,218,0.20447169130905157,0.19787122666201362,0.10508269463493344,1.9458169779467902,24.648888888888887,0.9688888888888889,5.0,27397.0,28655.0,0.043901587855522596
2025,lgbm_state,0.2,225,54538,5731,10992,1922,9070,3809,225,222,0.17485443959243085,0.33536904554179026,0.10508269463493344,1.663969887714534,48.85333333333333,0.9866666666666667,5.0,28115.0,28655.0,0.018844878729715582
2025,temporal_tabular,0.01,225,54538,5731,666,249,417,5482,225,162,0.3738738738738739,0.04344791484906648,0.10508269463493344,3.5579014715291106,2.96,0.72,5.0,27827.0,28655.0,0.028895480718897224
2025,temporal_tabular,0.025,225,54538,5731,1546,486,1060,5245,225,193,0.314359637774903,0.08480195428372012,0.10508269463493344,2.991545266963472,6.871111111111111,0.8577777777777778,5.0,27285.0,28655.0,0.0478101552957599
2025,temporal_tabular,0.05,225,54538,5731,2874,792,2082,4939,225,211,0.2755741127348643,0.1381957773512476,0.10508269463493344,2.622450001803181,12.773333333333333,0.9377777777777778,5.0,26777.0,28655.0,0.06553830047112197
2025,temporal_tabular,0.1,225,54538,5731,5546,1266,4280,4465,225,219,0.2282726289217454,0.2209038562205549,0.10508269463493344,2.172314192310967,24.648888888888887,0.9733333333333334,5.0,26605.0,28655.0,0.07154074332577212
2025,temporal_tabular,0.2,225,54538,5731,10992,2060,8932,3671,225,223,0.1874090247452693,0.3594486128075379,0.10508269463493344,1.783443271952102,48.85333333333333,0.9911111111111112,5.0,27287.0,28655.0,0.04774035944861281
2024,lgbm_state,0.01,229,53418,6262,665,262,403,6000,229,164,0.39398496240601505,0.04183966783775152,0.1172264030851024,3.360889288055655,2.903930131004367,0.7161572052401747,10.0,60403.0,62620.0,0.035404024273395084
2024,lgbm_state,0.025,229,53418,6262,1526,546,980,5716,229,203,0.3577981651376147,0.08719259022676461,0.1172264030851024,3.052197761948435,6.663755458515284,0.8864628820960698,10.0,58140.0,62620.0,0.07154263813478122
2024,lgbm_state,0.05,229,53418,6262,2847,872,1975,5390,229,220,0.3062873199859501,0.13925263494091344,0.1172264030851024,2.6127844233486877,12.43231441048035,0.9606986899563319,10.0,55875.0,62620.0,0.1077131906739061
2024,lgbm_state,0.1,229,53418,6262,5489,1399,4090,4863,229,226,0.25487338312989616,0.2234110507824976,0.1172264030851024,2.1741977611039274,23.96943231441048,0.9868995633187773,10.0,52720.0,62620.0,0.158096454806771
2024,lgbm_state,0.2,229,53418,6262,10773,2231,8542,4031,229,228,0.20709180358303164,0.3562759501756627,0.1172264030851024,1.7665969281057783,47.043668122270745,0.9956331877729258,10.0,48852.0,62620.0,0.21986585755349727
2024,temporal_tabular,0.01,229,53418,6262,665,297,368,5965,229,173,0.44661654135338347,0.0474289364420313,0.1172264030851024,3.809863047910418,2.903930131004367,0.7554585152838428,10.0,60018.0,62620.0,0.041552219738102844
2024,temporal_tabular,0.025,229,53418,6262,1526,572,954,5690,229,202,0.3748361730013106,0.09134461833280103,0.1172264030851024,3.197540512517408,6.663755458515284,0.8820960698689956,10.0,57854.0,62620.0,0.07610986905142127
2024,temporal_tabular,0.05,229,53418,6262,2847,948,1899,5314,229,215,0.3329820864067439,0.15138933248163525,0.1172264030851024,2.840504166668069,12.43231441048035,0.9388646288209607,10.0,55039.0,62620.0,0.1210635579687001
2024,temporal_tabular,0.1,229,53418,6262,5489,1517,3972,4745,229,224,0.27637092366551286,0.24225487064835516,0.1172264030851024,2.3575825615401413,23.96943231441048,0.9781659388646288,10.0,51422.0,62620.0,0.17882465665921432
2024,temporal_tabular,0.2,229,53418,6262,10773,2440,8333,3822,229,227,0.2264921563167177,0.3896518684126477,0.1172264030851024,1.9320916649834599,47.043668122270745,0.9912663755458515,10.0,46553.0,62620.0,0.25657936761418076
2025,lgbm_state,0.01,225,54538,5731,666,207,459,5524,225,143,0.3108108108108108,0.03611935089862153,0.10508269463493344,2.9577735124760074,2.96,0.6355555555555555,10.0,55699.0,57310.0,0.02811027743849241
2025,lgbm_state,0.025,225,54538,5731,1546,425,1121,5306,225,186,0.27490297542043984,0.07415808759378817,0.10508269463493344,2.616063247859003,6.871111111111111,0.8266666666666667,10.0,54181.0,57310.0,0.054597801430814864
2025,lgbm_state,0.05,225,54538,5731,2874,691,2183,5040,225,204,0.24043145441892833,0.12057232594660618,0.10508269463493344,2.2880214030883814,12.773333333333333,0.9066666666666666,10.0,52583.0,57310.0,0.08248124236607922
2025,lgbm_state,0.1,225,54538,5731,5546,1134,4412,4597,225,218,0.20447169130905157,0.19787122666201362,0.10508269463493344,1.9458169779467902,24.648888888888887,0.9688888888888889,10.0,50382.0,57310.0,0.1208864072587681
2025,lgbm_state,0.2,225,54538,5731,10992,1922,9070,3809,225,222,0.17485443959243085,0.33536904554179026,0.10508269463493344,1.663969887714534,48.85333333333333,0.9866666666666667,10.0,47160.0,57310.0,0.17710696213575292
2025,temporal_tabular,0.01,225,54538,5731,666,249,417,5482,225,162,0.3738738738738739,0.04344791484906648,0.10508269463493344,3.5579014715291106,2.96,0.72,10.0,55237.0,57310.0,0.036171697783981854
2025,temporal_tabular,0.025,225,54538,5731,1546,486,1060,5245,225,193,0.314359637774903,0.08480195428372012,0.10508269463493344,2.991545266963472,6.871111111111111,0.8577777777777778,10.0,53510.0,57310.0,0.06630605478974001
2025,temporal_tabular,0.05,225,54538,5731,2874,792,2082,4939,225,211,0.2755741127348643,0.1381957773512476,0.10508269463493344,2.622450001803181,12.773333333333333,0.9377777777777778,10.0,51472.0,57310.0,0.10186703891118479
2025,temporal_tabular,0.1,225,54538,5731,5546,1266,4280,4465,225,219,0.2282726289217454,0.2209038562205549,0.10508269463493344,2.172314192310967,24.648888888888887,0.9733333333333334,10.0,48930.0,57310.0,0.1462222997731635
2025,temporal_tabular,0.2,225,54538,5731,10992,2060,8932,3671,225,223,0.1874090247452693,0.3594486128075379,0.10508269463493344,1.783443271952102,48.85333333333333,0.9911111111111112,10.0,45642.0,57310.0,0.20359448612807537
2024,lgbm_state,0.01,229,53418,6262,665,262,403,6000,229,164,0.39398496240601505,0.04183966783775152,0.1172264030851024,3.360889288055655,2.903930131004367,0.7161572052401747,20.0,120403.0,125240.0,0.0386218460555733
2024,lgbm_state,0.025,229,53418,6262,1526,546,980,5716,229,203,0.3577981651376147,0.08719259022676461,0.1172264030851024,3.052197761948435,6.663755458515284,0.8864628820960698,20.0,115300.0,125240.0,0.07936761418077291
2024,lgbm_state,0.05,229,53418,6262,2847,872,1975,5390,229,220,0.3062873199859501,0.13925263494091344,0.1172264030851024,2.6127844233486877,12.43231441048035,0.9606986899563319,20.0,109775.0,125240.0,0.12348291280740978
2024,lgbm_state,0.1,229,53418,6262,5489,1399,4090,4863,229,226,0.25487338312989616,0.2234110507824976,0.1172264030851024,2.1741977611039274,23.96943231441048,0.9868995633187773,20.0,101350.0,125240.0,0.1907537527946343
2024,lgbm_state,0.2,229,53418,6262,10773,2231,8542,4031,229,228,0.20709180358303164,0.3562759501756627,0.1172264030851024,1.7665969281057783,47.043668122270745,0.9956331877729258,20.0,89162.0,125240.0,0.28807090386458
2024,temporal_tabular,0.01,229,53418,6262,665,297,368,5965,229,173,0.44661654135338347,0.0474289364420313,0.1172264030851024,3.809863047910418,2.903930131004367,0.7554585152838428,20.0,119668.0,125240.0,0.04449057809006707
2024,temporal_tabular,0.025,229,53418,6262,1526,572,954,5690,229,202,0.3748361730013106,0.09134461833280103,0.1172264030851024,3.197540512517408,6.663755458515284,0.8820960698689956,20.0,114754.0,125240.0,0.08372724369211115
2024,temporal_tabular,0.05,229,53418,6262,2847,948,1899,5314,229,215,0.3329820864067439,0.15138933248163525,0.1172264030851024,2.840504166668069,12.43231441048035,0.9388646288209607,20.0,108179.0,125240.0,0.1362264452251677
2024,temporal_tabular,0.1,229,53418,6262,5489,1517,3972,4745,229,224,0.27637092366551286,0.24225487064835516,0.1172264030851024,2.3575825615401413,23.96943231441048,0.9781659388646288,20.0,98872.0,125240.0,0.21053976365378474
2024,temporal_tabular,0.2,229,53418,6262,10773,2440,8333,3822,229,227,0.2264921563167177,0.3896518684126477,0.1172264030851024,1.9320916649834599,47.043668122270745,0.9912663755458515,20.0,84773.0,125240.0,0.32311561801341426
2025,lgbm_state,0.01,225,54538,5731,666,207,459,5524,225,143,0.3108108108108108,0.03611935089862153,0.10508269463493344,2.9577735124760074,2.96,0.6355555555555555,20.0,110939.0,114620.0,0.03211481416855697
2025,lgbm_state,0.025,225,54538,5731,1546,425,1121,5306,225,186,0.27490297542043984,0.07415808759378817,0.10508269463493344,2.616063247859003,6.871111111111111,0.8266666666666667,20.0,107241.0,114620.0,0.06437794451230151
2025,lgbm_state,0.05,225,54538,5731,2874,691,2183,5040,225,204,0.24043145441892833,0.12057232594660618,0.10508269463493344,2.2880214030883814,12.773333333333333,0.9066666666666666,20.0,102983.0,114620.0,0.1015267841563427
2025,lgbm_state,0.1,225,54538,5731,5546,1134,4412,4597,225,218,0.20447169130905157,0.19787122666201362,0.10508269463493344,1.9458169779467902,24.648888888888887,0.9688888888888889,20.0,96352.0,114620.0,0.15937881696039086
2025,lgbm_state,0.2,225,54538,5731,10992,1922,9070,3809,225,222,0.17485443959243085,0.33536904554179026,0.10508269463493344,1.663969887714534,48.85333333333333,0.9866666666666667,20.0,85250.0,114620.0,0.2562380038387716
2025,temporal_tabular,0.01,225,54538,5731,666,249,417,5482,225,162,0.3738738738738739,0.04344791484906648,0.10508269463493344,3.5579014715291106,2.96,0.72,20.0,110057.0,114620.0,0.039809806316524164
2025,temporal_tabular,0.025,225,54538,5731,1546,486,1060,5245,225,193,0.314359637774903,0.08480195428372012,0.10508269463493344,2.991545266963472,6.871111111111111,0.8577777777777778,20.0,105960.0,114620.0,0.07555400453673007
2025,temporal_tabular,0.05,225,54538,5731,2874,792,2082,4939,225,211,0.2755741127348643,0.1381957773512476,0.10508269463493344,2.622450001803181,12.773333333333333,0.9377777777777778,20.0,100862.0,114620.0,0.1200314081312162
2025,temporal_tabular,0.1,225,54538,5731,5546,1266,4280,4465,225,219,0.2282726289217454,0.2209038562205549,0.10508269463493344,2.172314192310967,24.648888888888887,0.9733333333333334,20.0,93580.0,114620.0,0.1835630779968592
2025,temporal_tabular,0.2,225,54538,5731,10992,2060,8932,3671,225,223,0.1874090247452693,0.3594486128075379,0.10508269463493344,1.783443271952102,48.85333333333333,0.9911111111111112,20.0,82352.0,114620.0,0.28152154946780666
2024,lgbm_state,0.01,229,53418,6262,665,262,403,6000,229,164,0.39398496240601505,0.04183966783775152,0.1172264030851024,3.360889288055655,2.903930131004367,0.7161572052401747,50.0,300403.0,313100.0,0.04055253912488023
2024,lgbm_state,0.025,229,53418,6262,1526,546,980,5716,229,203,0.3577981651376147,0.08719259022676461,0.1172264030851024,3.052197761948435,6.663755458515284,0.8864628820960698,50.0,286780.0,313100.0,0.08406259980836793
2024,lgbm_state,0.05,229,53418,6262,2847,872,1975,5390,229,220,0.3062873199859501,0.13925263494091344,0.1172264030851024,2.6127844233486877,12.43231441048035,0.9606986899563319,50.0,271475.0,313100.0,0.13294474608751197
2024,lgbm_state,0.1,229,53418,6262,5489,1399,4090,4863,229,226,0.25487338312989616,0.2234110507824976,0.1172264030851024,2.1741977611039274,23.96943231441048,0.9868995633187773,50.0,247240.0,313100.0,0.21034813158735227
2024,lgbm_state,0.2,229,53418,6262,10773,2231,8542,4031,229,228,0.20709180358303164,0.3562759501756627,0.1172264030851024,1.7665969281057783,47.043668122270745,0.9956331877729258,50.0,210092.0,313100.0,0.32899393165122964
2024,temporal_tabular,0.01,229,53418,6262,665,297,368,5965,229,173,0.44661654135338347,0.0474289364420313,0.1172264030851024,3.809863047910418,2.903930131004367,0.7554585152838428,50.0,298618.0,313100.0,0.04625359310124561
2024,temporal_tabular,0.025,229,53418,6262,1526,572,954,5690,229,202,0.3748361730013106,0.09134461833280103,0.1172264030851024,3.197540512517408,6.663755458515284,0.8820960698689956,50.0,285454.0,313100.0,0.08829766847652507
2024,temporal_tabular,0.05,229,53418,6262,2847,948,1899,5314,229,215,0.3329820864067439,0.15138933248163525,0.1172264030851024,2.840504166668069,12.43231441048035,0.9388646288209607,50.0,267599.0,313100.0,0.14532417757904822
2024,temporal_tabular,0.1,229,53418,6262,5489,1517,3972,4745,229,224,0.27637092366551286,0.24225487064835516,0.1172264030851024,2.3575825615401413,23.96943231441048,0.9781659388646288,50.0,241222.0,313100.0,0.22956882785052699
2024,temporal_tabular,0.2,229,53418,6262,10773,2440,8333,3822,229,227,0.2264921563167177,0.3896518684126477,0.1172264030851024,1.9320916649834599,47.043668122270745,0.9912663755458515,50.0,199433.0,313100.0,0.36303736825295435
2025,lgbm_state,0.01,225,54538,5731,666,207,459,5524,225,143,0.3108108108108108,0.03611935089862153,0.10508269463493344,2.9577735124760074,2.96,0.6355555555555555,50.0,276659.0,286550.0,0.03451753620659571
2025,lgbm_state,0.025,225,54538,5731,1546,425,1121,5306,225,186,0.27490297542043984,0.07415808759378817,0.10508269463493344,2.616063247859003,6.871111111111111,0.8266666666666667,50.0,266421.0,286550.0,0.0702460303611935
2025,lgbm_state,0.05,225,54538,5731,2874,691,2183,5040,225,204,0.24043145441892833,0.12057232594660618,0.10508269463493344,2.2880214030883814,12.773333333333333,0.9066666666666666,50.0,254183.0,286550.0,0.11295410923050078
2025,lgbm_state,0.1,225,54538,5731,5546,1134,4412,4597,225,218,0.20447169130905157,0.19787122666201362,0.10508269463493344,1.9458169779467902,24.648888888888887,0.9688888888888889,50.0,234262.0,286550.0,0.1824742627813645
2025,lgbm_state,0.2,225,54538,5731,10992,1922,9070,3809,225,222,0.17485443959243085,0.33536904554179026,0.10508269463493344,1.663969887714534,48.85333333333333,0.9866666666666667,50.0,199520.0,286550.0,0.3037166288605828
2025,temporal_tabular,0.01,225,54538,5731,666,249,417,5482,225,162,0.3738738738738739,0.04344791484906648,0.10508269463493344,3.5579014715291106,2.96,0.72,50.0,274517.0,286550.0,0.04199267143604955
2025,temporal_tabular,0.025,225,54538,5731,1546,486,1060,5245,225,193,0.314359637774903,0.08480195428372012,0.10508269463493344,2.991545266963472,6.871111111111111,0.8577777777777778,50.0,263310.0,286550.0,0.0811027743849241
2025,temporal_tabular,0.05,225,54538,5731,2874,792,2082,4939,225,211,0.2755741127348643,0.1381957773512476,0.10508269463493344,2.622450001803181,12.773333333333333,0.9377777777777778,50.0,249032.0,286550.0,0.13093002966323503
2025,temporal_tabular,0.1,225,54538,5731,5546,1266,4280,4465,225,219,0.2282726289217454,0.2209038562205549,0.10508269463493344,2.172314192310967,24.648888888888887,0.9733333333333334,50.0,227530.0,286550.0,0.2059675449310766
2025,temporal_tabular,0.2,225,54538,5731,10992,2060,8932,3671,225,223,0.1874090247452693,0.3594486128075379,0.10508269463493344,1.783443271952102,48.85333333333333,0.9911111111111112,50.0,192482.0,286550.0,0.32827778747164543
